,model,year,Price,Gas Mileage,Engine,Drivetrain,Passenger Capacity,Passenger Doors,Body Style,Transmission
1,Acura,2019,40600,50,2,1,5,4,1,1
2,Acura,2019,45500,50,2,1,5,4,1,1
3,Acura,2019,43600,49,2,1,5,4,1,1
4,Acura,2019,37400,50,2,1,5,4,1,1
5,Acura,2019,42600,48,2,0,5,4,1,1
6,Acura,2019,47500,48,2,0,5,4,1,1
7,Acura,2019,45600,47,2,0,5,4,1,1
8,Acura,2018,37500,46,2,0,5,4,1,1
9,Acura,2018,41000,48,2,1,5,4,1,1
10,Acura,2018,39700,48,2,1,5,4,1,1
11,Acura,2018,42700,48,2,1,5,4,1,1
12,Acura,2018,37300,48,2,1,5,4,1,1
13,Acura,2018,36000,48,2,1,5,4,1,1
14,Acura,2018,42500,46,2,0,5,4,1,1
15,Acura,2018,41200,46,2,0,5,4,1,1
16,Acura,2018,44200,46,2,0,5,4,1,1
17,Acura,2018,38800,46,2,0,5,4,1,1
18,Acura,2016,36870,47,2,0,5,4,1,1
19,Acura,2016,40370,49,2,1,5,4,1,1
20,Acura,2016,39070,49,2,1,5,4,1,1
21,Acura,2016,42020,49,2,1,5,4,1,1
22,Acura,2016,36670,49,2,1,5,4,1,1
23,Acura,2016,35370,49,2,1,5,4,1,1
24,Acura,2016,41870,47,2,0,5,4,1,1
25,Acura,2016,40570,47,2,0,5,4,1,1
26,Acura,2016,43520,47,2,0,5,4,1,1
27,Acura,2016,38170,47,2,0,5,4,1,1
28,Acura,2015,36495,46,2,0,5,4,1,1
29,Acura,2015,38795,48,2,1,5,4,1,1
30,Acura,2015,35095,48,2,1,5,4,1,1
31,Acura,2015,40195,46,2,0,5,4,1,1
32,Acura,2014,35920,46,2,0,5,4,1,1
33,Acura,2014,38220,48,2,1,5,4,1,1
34,Acura,2014,34520,48,2,1,5,4,1,1
35,Acura,2014,39620,46,2,0,5,4,1,1
36,Acura,2013,35720,46,1,0,5,4,1,1
37,Acura,2013,38020,48,1,1,5,4,1,1
38,Acura,2013,34320,48,1,1,5,4,1,1
39,Acura,2013,39420,46,1,0,5,4,1,1
40,Acura,2012,34895,39,1,0,5,4,1,1
41,Acura,2012,35995,43,1,1,5,4,1,1
42,Acura,2012,32895,43,1,1,5,4,1,1
43,Acura,2012,37995,39,1,0,5,4,1,1
44,Acura,2011,34895,39,1,0,5,4,1,1
45,Acura,2011,35995,43,1,1,5,4,1,1
46,Acura,2011,32895,43,1,1,5,4,1,1
47,Acura,2011,37995,39,1,0,5,4,1,1
48,Acura,2010,34520,39,1,0,5,4,1,1
49,Acura,2010,35620,43,1,1,5,4,1,1
50,Acura,2010,32520,43,1,1,5,4,1,1
51,Acura,2010,37620,39,1,0,5,4,1,1
